r,n_asleep,n_awake,n_honest_asleep,n_honest_dreamy,n_honest_awake,n_adversary,n_all,party0_ledger_best_length,party0_ledger_best_age,party0_ledger_fast_length,party0_ledger_fast_age,party0_ledger_slow_length,party0_ledger_slow_age,party0_comms_all_size,party0_comms_all_count,party0_comms_proposal_size,party0_comms_proposal_count,party0_comms_piece_block_size,party0_comms_piece_block_count,party0_comms_piece_vote_size,party0_comms_piece_vote_count,party1_ledger_best_length,party1_ledger_best_age,party1_ledger_fast_length,party1_ledger_fast_age,party1_ledger_slow_length,party1_ledger_slow_age,party1_comms_all_size,party1_comms_all_count,party1_comms_proposal_size,party1_comms_proposal_count,party1_comms_piece_block_size,party1_comms_piece_block_count,party1_comms_piece_vote_size,party1_comms_piece_vote_count,party2_ledger_best_length,party2_ledger_best_age,party2_ledger_fast_length,party2_ledger_fast_age,party2_ledger_slow_length,party2_ledger_slow_age,party2_comms_all_size,party2_comms_all_count,party2_comms_proposal_size,party2_comms_proposal_count,party2_comms_piece_block_size,party2_comms_piece_block_count,party2_comms_piece_vote_size,party2_comms_piece_vote_count,party3_ledger_best_length,party3_ledger_best_age,party3_ledger_fast_length,party3_ledger_fast_age,party3_ledger_slow_length,party3_ledger_slow_age,party3_comms_all_size,party3_comms_all_count,party3_comms_proposal_size,party3_comms_proposal_count,party3_comms_piece_block_size,party3_comms_piece_block_count,party3_comms_piece_vote_size,party3_comms_piece_vote_count,party4_ledger_best_length,party4_ledger_best_age,party4_ledger_fast_length,party4_ledger_fast_age,party4_ledger_slow_length,party4_ledger_slow_age,party4_comms_all_size,party4_comms_all_count,party4_comms_proposal_size,party4_comms_proposal_count,party4_comms_piece_block_size,party4_comms_piece_block_count,party4_comms_piece_vote_size,party4_comms_piece_vote_count,partyALWAYSAWAKE_ledger_best_length,partyALWAYSAWAKE_ledger_best_age,partyALWAYSAWAKE_ledger_fast_length,partyALWAYSAWAKE_ledger_fast_age,partyALWAYSAWAKE_ledger_slow_length,partyALWAYSAWAKE_ledger_slow_age,partyALWAYSAWAKE_comms_all_size,partyALWAYSAWAKE_comms_all_count,partyALWAYSAWAKE_comms_proposal_size,partyALWAYSAWAKE_comms_proposal_count,partyALWAYSAWAKE_comms_piece_block_size,partyALWAYSAWAKE_comms_piece_block_count,partyALWAYSAWAKE_comms_piece_vote_size,partyALWAYSAWAKE_comms_piece_vote_count
56,0,1000,0,0,1000,0,1000,10,13,10,13,2,3,0,0,0,0,0,0,0,0,10,13,10,13,2,3,0,0,0,0,0,0,0,0,10,13,10,13,2,3,0,0,0,0,0,0,0,0,10,13,10,13,2,3,0,0,0,0,0,0,0,0,10,13,10,13,2,3,0,0,0,0,0,0,0,0,10,13,10,13,2,3,0,0,0,0,0,0,0,0
57,0,1000,0,0,1000,0,1000,10,13,10,13,2,3,8686,2,8686,2,0,0,0,0,10,13,10,13,2,3,8686,2,8686,2,0,0,0,0,10,13,10,13,2,3,8686,2,8686,2,0,0,0,0,10,13,10,13,2,3,8686,2,8686,2,0,0,0,0,10,13,10,13,2,3,8686,2,8686,2,0,0,0,0,10,13,10,13,2,3,8686,2,8686,2,0,0,0,0
58,0,1000,0,0,1000,0,1000,11,14,11,14,2,3,28579,105,0,0,291,1,28288,104,11,14,11,14,2,3,28579,105,0,0,291,1,28288,104,11,14,11,14,2,3,28579,105,0,0,291,1,28288,104,11,14,11,14,2,3,28579,105,0,0,291,1,28288,104,11,14,11,14,2,3,28579,105,0,0,291,1,28288,104,11,14,11,14,2,3,28579,105,0,0,291,1,28288,104
59,0,1000,0,0,1000,0,1000,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0
60,0,1000,0,0,1000,0,1000,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0,11,14,11,14,2,3,0,0,0,0,0,0,0,0
61,0,1000,0,0,1000,0,1000,11,14,11,14,2,3,3767,1,3767,1,0,0,0,0,11,14,11,14,2,3,3767,1,3767,1,0,0,0,0,11,14,11,14,2,3,3767,1,3767,1,0,0,0,0,11,14,11,14,2,3,3767,1,3767,1,0,0,0,0,11,14,11,14,2,3,3767,1,3767,1,0,0,0,0,11,14,11,14,2,3,3767,1,3767,1,0,0,0,0
62,0,1000,0,0,1000,0,1000,12,15,12,15,2,3,23411,86,0,0,291,1,23120,85,12,15,12,15,2,3,23411,86,0,0,291,1,23120,85,12,15,12,15,2,3,23411,86,0,0,291,1,23120,85,12,15,12,15,2,3,23411,86,0,0,291,1,23120,85,12,15,12,15,2,3,23411,86,0,0,291,1,23120,85,12,15,12,15,2,3,23411,86,0,0,291,1,23120,85
63,0,1000,0,0,1000,0,1000,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0
64,0,1000,0,0,1000,0,1000,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0,12,15,12,15,2,3,0,0,0,0,0,0,0,0
65,900,100,900,0,100,0,1000,12,15,12,15,2,3,6318,2,6318,2,0,0,0,0,12,15,12,15,2,3,6318,2,6318,2,0,0,0,0,12,15,12,15,2,3,6318,2,6318,2,0,0,0,0,12,15,12,15,2,3,6318,2,6318,2,0,0,0,0,12,15,12,15,2,3,6318,2,6318,2,0,0,0,0,12,15,12,15,2,3,6318,2,6318,2,0,0,0,0
